Year,Hydro(TWh),Biofuel(TWh),Solar PV (TWh),Geothermal (TWh),Total renewablePower per year
1990,2191.67,3.88,0.09,36.42,2232.06
1991,2268.63,4.19,0.1,37.39,2310.31
1992,2267.16,4.63,0.12,39.3,2311.21
1993,2397.67,5.61,0.15,40.23,2443.66
1994,2419.73,7.31,0.17,41.05,2468.26
1995,2545.96,7.95,0.19,39.89,2593.99
1996,2583.18,9.45,0.22,42.18,2635.03
1997,2614.54,12.08,0.27,42.38,2669.27
1998,2628.63,16.07,0.35,45.35,2690.4
1999,2636.26,21.52,0.61,48.66,2707.05
2000,2695.85,31.34,0.99,51.98,2780.16
2001,2638.2,38.45,1.32,51.57,2729.54
2002,2711.12,52.85,1.58,52.29,2817.84
2003,2726.33,64.23,2.01,54.09,2846.66
2004,2894.22,84.43,2.66,56.5,3037.81
2005,3019.5,103.92,3.92,58.28,3185.62
2006,3124.34,133.05,5.52,59.61,3322.52
2007,3165.71,170.83,7.47,62.29,3406.3
2008,3285.59,221.05,11.92,64.91,3583.47
2009,3338.82,277.44,20.04,67.03,3703.33
2010,3530.72,341.38,32.22,68.1,3972.42
2011,2603.78,436.01,63.76,69.29,3172.84
2012,3765.96,525.04,99.03,70.27,4460.3
2013,2898.28,646.36,139.64,71.74,3756.02
2014,3976.01,718.07,190.25,77.52,4961.85
2015,3989.28,838.31,250.75,80.56,5158.9
2016,4162.26,958.15,329.14,82.18,5531.73
2017,4197.29,1127.31,443.55,85.34,5853.49
