Country,Hydro_TWh,Biofuel_TWh,Solar PV_TWh,Geothermal_TWh,Total_TWh
China,1189.84,295.02,79.43,0.125,1564.415
USA,315.62,277.91,58.95,18.96,671.44
Brazil,370.9,42.37,52.25,0,465.52
Canada,383.48,29.65,7.12,0,420.25
India,141.8,51.06,43.76,0,236.62
Germany,24.17,111.59,45.1,0.16,181.02
Russia,187.13,0.14,0.08,0.43,187.78
Japan,90.67,7.63,19.01,2.44,119.75
France,70.13,28.5,5.87,0.13,104.63
Italy,50.92,17.49,16.85,6.08,91.34
UK,7.96,57.11,32.08,0,97.15
Spain,36.74,50.81,5.48,0,93.03
Turkey,59.74,19.88,2.63,6.9,89.15
Mexico,32.52,13.07,1.88,5.36,52.83
Australia,16.02,15.17,3.51,0,34.7
Indonesia,18.63,0.0006,0.23,12.76,31.6206
Thailand,9.52,1.1,15.38,0.0001,26.0001
South Korea,7.28,2.46,6.82,0,16.56
Iran,15.05,0.3,0.02,0,15.37
Taiwan,8.87,1.73,0.11,0,10.71
